,0,90,180,270,model_name,dataset_name,group_name,data_transformations,full_finetune,method
219,153.25,77.5625,222.375,79.875,RN50,CIFAR100,rot90,rot90,False,equitune
220,75.0,100.0625,101.625,115.125,RN50,CIFAR100,rot90,rot90,False,equitune
221,204.375,72.8125,89.3125,75.875,RN50,CIFAR100,rot90,rot90,False,equitune
222,81.5,73.75,64.625,75.625,RN50,CIFAR100,rot90,rot90,False,equitune
223,81.4375,74.625,80.0,76.5,RN50,CIFAR100,rot90,rot90,False,equitune
224,137.875,73.75,70.25,69.375,RN50,CIFAR100,rot90,rot90,False,equitune
225,85.1875,63.71875,71.1875,69.9375,RN50,CIFAR100,rot90,rot90,False,equitune
226,90.6875,78.5,89.8125,101.25,RN50,CIFAR100,rot90,rot90,False,equitune
227,66.875,76.1875,59.625,79.3125,RN50,CIFAR100,rot90,rot90,False,equitune
228,75.5,82.125,88.0625,83.5625,RN50,CIFAR100,rot90,rot90,False,equitune
229,490.75,74.0625,72.875,64.0625,RN50,CIFAR100,rot90,rot90,False,equitune
230,245.25,77.1875,86.625,66.8125,RN50,CIFAR100,rot90,rot90,False,equitune
231,130.375,95.3125,121.5,119.1875,RN50,CIFAR100,rot90,rot90,False,equitune
232,807.5,66.9375,72.0,76.0,RN50,CIFAR100,rot90,rot90,False,equitune
233,90.25,76.125,103.5625,67.8125,RN50,CIFAR100,rot90,rot90,False,equitune
234,187.875,70.6875,121.4375,147.375,RN50,CIFAR100,rot90,rot90,False,equitune
235,151.0,99.6875,109.0625,127.5625,RN50,CIFAR100,rot90,rot90,False,equitune
236,217.75,77.25,82.5625,106.75,RN50,CIFAR100,rot90,rot90,False,equitune
237,110.4375,73.4375,65.0,80.4375,RN50,CIFAR100,rot90,rot90,False,equitune
238,145.25,86.875,103.75,102.25,RN50,CIFAR100,rot90,rot90,False,equitune
239,172.0,84.375,81.25,84.0,RN50,CIFAR100,rot90,rot90,False,equitune
240,330.5,108.375,160.375,98.75,RN50,CIFAR100,rot90,rot90,False,equitune
241,105.75,85.5,127.25,80.3125,RN50,CIFAR100,rot90,rot90,False,equitune
242,545.0,86.25,69.75,53.9375,RN50,CIFAR100,rot90,rot90,False,equitune
243,82.6875,77.125,68.3125,81.75,RN50,CIFAR100,rot90,rot90,False,equitune
244,154.125,95.0625,83.25,110.6875,RN50,CIFAR100,rot90,rot90,False,equitune
245,134.375,130.25,109.4375,118.5,RN50,CIFAR100,rot90,rot90,False,equitune
246,126.25,94.25,74.9375,87.875,RN50,CIFAR100,rot90,rot90,False,equitune
247,76.4375,104.125,62.1875,85.625,RN50,CIFAR100,rot90,rot90,False,equitune
248,94.625,86.0,103.9375,75.25,RN50,CIFAR100,rot90,rot90,False,equitune
249,129.75,99.5,91.0,96.25,RN50,CIFAR100,rot90,rot90,False,equitune
250,70.5,63.5,108.75,78.5625,RN50,CIFAR100,rot90,rot90,False,equitune
251,93.4375,80.875,72.75,90.9375,RN50,CIFAR100,rot90,rot90,False,equitune
252,90.6875,85.0,76.8125,74.8125,RN50,CIFAR100,rot90,rot90,False,equitune
253,458.5,79.75,89.1875,95.8125,RN50,CIFAR100,rot90,rot90,False,equitune
254,86.4375,73.375,69.5625,97.8125,RN50,CIFAR100,rot90,rot90,False,equitune
255,74.75,67.4375,64.75,73.875,RN50,CIFAR100,rot90,rot90,False,equitune
256,88.6875,83.1875,68.875,65.25,RN50,CIFAR100,rot90,rot90,False,equitune
257,132.125,91.6875,65.0625,82.4375,RN50,CIFAR100,rot90,rot90,False,equitune
258,85.625,75.3125,80.5,81.25,RN50,CIFAR100,rot90,rot90,False,equitune
259,68.4375,72.5,103.3125,86.9375,RN50,CIFAR100,rot90,rot90,False,equitune
260,96.4375,100.4375,94.25,68.5625,RN50,CIFAR100,rot90,rot90,False,equitune
261,76.3125,90.25,67.6875,77.5,RN50,CIFAR100,rot90,rot90,False,equitune
262,359.5,78.75,75.875,74.6875,RN50,CIFAR100,rot90,rot90,False,equitune
263,104.875,86.875,64.0625,62.25,RN50,CIFAR100,rot90,rot90,False,equitune
264,160.5,96.75,75.1875,67.25,RN50,CIFAR100,rot90,rot90,False,equitune
265,65.1875,76.5625,87.0,80.8125,RN50,CIFAR100,rot90,rot90,False,equitune
266,122.9375,75.5625,109.0,124.375,RN50,CIFAR100,rot90,rot90,False,equitune
267,109.5625,86.5,88.6875,80.375,RN50,CIFAR100,rot90,rot90,False,equitune
268,100.375,95.5625,134.25,75.6875,RN50,CIFAR100,rot90,rot90,False,equitune
269,332.25,84.375,92.125,87.625,RN50,CIFAR100,rot90,rot90,False,equitune
270,117.0625,72.1875,102.1875,87.8125,RN50,CIFAR100,rot90,rot90,False,equitune
271,117.0,90.8125,160.875,67.9375,RN50,CIFAR100,rot90,rot90,False,equitune
272,391.0,79.75,98.0,71.125,RN50,CIFAR100,rot90,rot90,False,equitune
273,94.125,142.75,95.8125,105.125,RN50,CIFAR100,rot90,rot90,False,equitune
274,106.8125,69.0,93.9375,65.3125,RN50,CIFAR100,rot90,rot90,False,equitune
275,73.0625,83.9375,87.0,79.0,RN50,CIFAR100,rot90,rot90,False,equitune
276,83.5625,99.625,85.3125,116.0625,RN50,CIFAR100,rot90,rot90,False,equitune
277,74.625,55.1875,65.0,72.875,RN50,CIFAR100,rot90,rot90,False,equitune
278,73.625,75.9375,75.5625,63.40625,RN50,CIFAR100,rot90,rot90,False,equitune
279,90.0,79.875,89.625,108.125,RN50,CIFAR100,rot90,rot90,False,equitune
280,104.5,80.125,80.6875,80.875,RN50,CIFAR100,rot90,rot90,False,equitune
281,680.0,76.6875,168.5,87.375,RN50,CIFAR100,rot90,rot90,False,equitune
282,86.0625,73.5625,84.5625,46.65625,RN50,CIFAR100,rot90,rot90,False,equitune
283,107.0625,70.0625,89.3125,84.6875,RN50,CIFAR100,rot90,rot90,False,equitune
284,88.6875,76.5625,139.125,75.1875,RN50,CIFAR100,rot90,rot90,False,equitune
285,164.125,66.875,92.625,60.40625,RN50,CIFAR100,rot90,rot90,False,equitune
286,81.4375,79.1875,70.4375,76.0625,RN50,CIFAR100,rot90,rot90,False,equitune
287,76.0625,80.375,88.9375,76.1875,RN50,CIFAR100,rot90,rot90,False,equitune
288,80.375,70.25,81.8125,85.8125,RN50,CIFAR100,rot90,rot90,False,equitune
289,83.1875,79.3125,115.75,95.125,RN50,CIFAR100,rot90,rot90,False,equitune
290,85.4375,83.375,124.6875,87.3125,RN50,CIFAR100,rot90,rot90,False,equitune
291,192.375,78.375,112.4375,59.78125,RN50,CIFAR100,rot90,rot90,False,equitune
292,282.5,234.125,205.5,124.25,RN50,CIFAR100,rot90,rot90,False,equitune
293,81.125,71.25,92.0,67.5,RN50,CIFAR100,rot90,rot90,False,equitune
294,497.75,75.5,70.5625,67.875,RN50,CIFAR100,rot90,rot90,False,equitune
295,526.0,85.0,70.5,63.84375,RN50,CIFAR100,rot90,rot90,False,equitune
296,199.0,76.3125,420.75,68.1875,RN50,CIFAR100,rot90,rot90,False,equitune
297,60.875,68.75,62.28125,87.625,RN50,CIFAR100,rot90,rot90,False,equitune
298,128.25,127.25,75.875,85.1875,RN50,CIFAR100,rot90,rot90,False,equitune
299,194.0,76.375,53.34375,74.125,RN50,CIFAR100,rot90,rot90,False,equitune
300,107.4375,68.9375,86.4375,59.0625,RN50,CIFAR100,rot90,rot90,False,equitune
301,81.5,72.0,87.4375,60.375,RN50,CIFAR100,rot90,rot90,False,equitune
302,103.0625,67.875,87.125,94.6875,RN50,CIFAR100,rot90,rot90,False,equitune
303,100.1875,78.4375,75.625,85.6875,RN50,CIFAR100,rot90,rot90,False,equitune
304,151.625,85.875,147.875,107.3125,RN50,CIFAR100,rot90,rot90,False,equitune
305,76.0625,87.3125,95.5625,69.8125,RN50,CIFAR100,rot90,rot90,False,equitune
306,84.1875,88.3125,71.625,68.125,RN50,CIFAR100,rot90,rot90,False,equitune
307,169.125,65.0,71.625,60.25,RN50,CIFAR100,rot90,rot90,False,equitune
308,65.875,87.125,61.53125,73.125,RN50,CIFAR100,rot90,rot90,False,equitune
